name,tweet_content,tweet_url
ricmarias,"@AmericanAir I was with @vesotoba. Due 2 the 10-hour delay of 113 BCN-MIA on 15.01, I wasted 100 € and 1 day of holiday. Any compensation?",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_253.html
VirtualEuphoria,"@AmericanAir , since your 787 has been messing up our pattern at KCNW, can we all get a free ride after class?",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_227.html
jkhoey,@AmericanAir shoutout to the agent on duty now @ Gate B1 #ABQ / outstanding customer service w delayed FLT 336 http://t.co/OoEJ4d4JoP,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_88.html
yesimsure_1,@AmericanAir Hi. Get error msg when trying to check in on line. States: wrong pass#. Tickets rcvd from AA due to training in DFW. U know Y?,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_307.html
ChrisSentman,@AmericanAir @ORD stuck on the ground for 30 minutes waiting for a gate. Unreal.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_454.html
TheNateProsser,@AmericanAir pilot made record time to make connection! Thank you flight AIH to DFW pilot and crew!,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_483.html
otisday,"@AmericanAir @_emmaclifford No. At JFK you sort of have to guess things out. It's a small airport, so whatever.",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_356.html
CelinAlexiuk,"@AmericanAir very disappointed with handling of bag sit in Miami. No explanation, no organization &amp; no caring in YUL. #donewithAA $50.00??",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_137.html
rkflyga,@AmericanAir is rising like the sun at DCA this morning.  @NATCA members have the best view. #avgeek http://t.co/VAhdekVOKe,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_35.html
GDClearedToLand,@AmericanAir #MD80 ready to depart #ORD @fly2ohare @MD80com @AirlineGeeks #avgeek http://t.co/CZo9ZcsaLi,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_170.html
JohnCFitness,@AmericanAir that's correct :) I see 7F confirmed but I flew 10A LHR - ATH &amp; felt trapped! Isle seat would be perfect! Much appreciate AA :),https://cf-public-view.s3.amazonaws.com/static_web_pages/file_120.html
bivens_maria,@AmericanAir #A11 DFW we can wait for luggage a couple of hours and there's no guarantee! Gate agents unhelpful! #flt65 jfk-dfw,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_255.html
MigsNSX,@AmericanAir what is the reason for the 3.5 hour departure delay on AA flight 27 DFW-LAS?,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_378.html
ronlieber,"@AmericanAir Is it true, as FAs are saying, that you have no way to collect money from passengers (after door closing) who want a MCE seat?",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_63.html
NicholasJamz,@AmericanAir how about the 445 flight from ATL to NYC on May 25th?  Happy to pay the difference. Customer relations via phone said...,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_462.html
Rom55Weber,"@AmericanAir So i was visiting SJU and was returning to Paris and they checked my bag at the gate in SJU, i arrived in paris and nothing,(1)",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_71.html
RustCohle21,"Like JFK had a rough day in Dallas? RT @AmericanAir: @RustCohle21 We don't like what we're hearing, Jeff. It's been a rough few days for us.",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_204.html
JohnCFitness,@AmericanAir that's correct :) I see 7F confirmed but I flew 10A LHR - ATH &amp; felt trapped! Isle seat would be perfect! Much appreciate AA :),https://cf-public-view.s3.amazonaws.com/static_web_pages/file_120.html
ConstanceSCHERE,@USAirways Seriously doubt that as I am still sitting inside at the gate.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_23.html
scatignani,@SouthwestAir I never got a cancellation text from this morning either #bushleague or a number to call #weakservice,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_14.html
